Zeit;EventTyp;VonZustand;ZuZustand;PatientId;ArztId;SchwesterId
042.92;geht_zur_rezeption;;;7;;
043.00;betritt_rezeption_warteschlange;;;7;;
043.00;rezeption_frei;;;7;;
043.00;betritt_rezeption;;;7;;
043.00;behandlung_nicht_fertig;;;7;;
043.00;startet_rezeption;;;7;;
043.73;beendet_rezeption;;;7;;
043.73;rezeption_ohne_termin;;;7;;
043.73;hat_keinen_termin;;;7;;
043.73;benoetigt_schwester_vorbereitung;;;7;;
043.73;schwester_frei;;;7;;
043.73;geht_zur_schwester;;;7;;
043.89;betritt_schwesterzimmer;;;7;;
043.89;startet_schwester_prozess;;;7;;2
045.70;beendet_arzt_behandlung;;;4;1;
045.70;geht_nach_arzt_zur_rezeption;;;4;;
045.70;verlaesst_wartezimmer_fuer_arzt;;;5;;
045.70;geht_zum_arzt;;;5;;
045.87;betritt_rezeption_warteschlange;;;4;;
045.87;rezeption_frei;;;4;;
045.87;betritt_arztzimmer;;;5;;
045.87;startet_arzt_behandlung;;;5;1;
045.87;betritt_rezeption;;;4;;
045.87;behandlung_bereits_fertig;;;4;;
045.87;startet_rezeption;;;4;;
045.90;betritt_klinik;;;8;;
045.90;geht_zur_rezeption;;;8;;
045.99;betritt_rezeption_warteschlange;;;8;;
045.99;rezeption_nicht_frei;;;8;;
045.99;wartet_in_rezeption_warteschlange;;;8;;
047.46;beendet_rezeption;;;4;;
047.46;macht_folgetermin_aus_oder_rezept;;;4;;
047.46;geht_zum_ausgang;;;4;;
047.46;rezeption_frei;;;8;;
047.46;betritt_rezeption;;;8;;
047.46;behandlung_nicht_fertig;;;8;;
047.46;startet_rezeption;;;8;;
047.54;verlaesst_klinik;;;4;;
047.76;beendet_rezeption;;;8;;
047.76;rezeption_hat_termin;;;8;;
047.76;hat_termin;;;8;;
047.76;benoetigt_schwester_vorbereitung;;;8;;
047.76;schwester_frei;;;8;;
047.76;geht_zur_schwester;;;8;;
047.93;betritt_schwesterzimmer;;;8;;
050.43;beendet_schwester_prozess;;;7;;2
050.43;geht_ins_wartezimmer_fuer_arzt;;;7;;
050.43;startet_schwester_prozess;;;8;;2
050.60;betritt_wartezimmer_fuer_arzt;;;7;;
053.85;beendet_arzt_behandlung;;;5;1;
053.85;geht_nach_arzt_zur_rezeption;;;5;;
053.85;verlaesst_wartezimmer_fuer_arzt;;;6;;
053.85;geht_zum_arzt;;;6;;
054.02;betritt_rezeption_warteschlange;;;5;;
054.02;rezeption_frei;;;5;;
054.02;betritt_arztzimmer;;;6;;
054.02;startet_arzt_behandlung;;;6;1;
054.02;betritt_rezeption;;;5;;
054.02;behandlung_bereits_fertig;;;5;;
054.02;startet_rezeption;;;5;;
055.47;beendet_rezeption;;;5;;
055.47;macht_folgetermin_aus_oder_rezept;;;5;;
055.47;geht_zum_ausgang;;;5;;
055.55;verlaesst_klinik;;;5;;
058.96;beendet_schwester_prozess;;;8;;2
058.96;geht_ins_wartezimmer_fuer_arzt;;;8;;
059.12;betritt_wartezimmer_fuer_arzt;;;8;;
059.56;beendet_arzt_behandlung;;;6;1;
059.56;geht_nach_arzt_zur_rezeption;;;6;;
059.56;verlaesst_wartezimmer_fuer_arzt;;;7;;
059.56;geht_zum_arzt;;;7;;
059.72;betritt_rezeption_warteschlange;;;6;;
059.72;rezeption_frei;;;6;;
059.72;betritt_arztzimmer;;;7;;
059.72;startet_arzt_behandlung;;;7;1;
059.72;betritt_rezeption;;;6;;
059.72;behandlung_bereits_fertig;;;6;;
059.72;startet_rezeption;;;6;;
059.79;verlaesst_wartezimmer_fuer_arzt;;;8;;
059.79;geht_zum_arzt;;;8;;
059.96;betritt_arztzimmer;;;8;;
059.96;startet_arzt_behandlung;;;8;2;
061.26;beendet_rezeption;;;6;;
061.26;macht_folgetermin_aus_oder_rezept;;;6;;
061.26;geht_zum_ausgang;;;6;;
061.35;verlaesst_klinik;;;6;;
064.89;beendet_arzt_behandlung;;;7;1;
064.89;geht_nach_arzt_zur_rezeption;;;7;;
065.05;betritt_rezeption_warteschlange;;;7;;
065.05;rezeption_frei;;;7;;
065.05;betritt_rezeption;;;7;;
065.05;behandlung_bereits_fertig;;;7;;
065.05;startet_rezeption;;;7;;
065.16;beendet_rezeption;;;7;;
065.16;macht_folgetermin_aus_oder_rezept;;;7;;
065.16;geht_zum_ausgang;;;7;;
065.25;verlaesst_klinik;;;7;;
070.72;betritt_klinik;;;9;;
070.72;geht_zur_rezeption;;;9;;
070.73;betritt_klinik;;;10;;
070.73;geht_zur_rezeption;;;10;;
070.80;betritt_rezeption_warteschlange;;;9;;
070.80;rezeption_frei;;;9;;
070.80;betritt_rezeption;;;9;;
070.80;behandlung_nicht_fertig;;;9;;
070.80;startet_rezeption;;;9;;
070.81;betritt_rezeption_warteschlange;;;10;;
070.81;rezeption_nicht_frei;;;10;;
070.81;wartet_in_rezeption_warteschlange;;;10;;
072.17;beendet_rezeption;;;9;;
072.17;rezeption_hat_termin;;;9;;
072.17;hat_termin;;;9;;
072.17;benoetigt_schwester_vorbereitung;;;9;;
072.17;schwester_frei;;;9;;
072.17;geht_zur_schwester;;;9;;
072.17;rezeption_frei;;;10;;
072.17;betritt_rezeption;;;10;;
072.17;behandlung_nicht_fertig;;;10;;
072.17;startet_rezeption;;;10;;
072.33;betritt_schwesterzimmer;;;9;;
072.33;startet_schwester_prozess;;;9;;1
073.37;betritt_klinik;;;11;;
073.37;geht_zur_rezeption;;;11;;
073.46;betritt_rezeption_warteschlange;;;11;;
073.46;rezeption_nicht_frei;;;11;;
073.46;wartet_in_rezeption_warteschlange;;;11;;
077.69;beendet_rezeption;;;10;;
077.69;rezeption_ohne_termin;;;10;;
077.69;hat_keinen_termin;;;10;;
077.69;benoetigt_schwester_vorbereitung;;;10;;
077.69;schwester_frei;;;10;;
077.69;geht_zur_schwester;;;10;;
077.69;rezeption_frei;;;11;;
077.69;betritt_rezeption;;;11;;
077.69;behandlung_nicht_fertig;;;11;;
077.69;startet_rezeption;;;11;;
077.85;betritt_schwesterzimmer;;;10;;
078.41;beendet_arzt_behandlung;;;8;2;
078.41;geht_nach_arzt_zur_rezeption;;;8;;
078.51;beendet_schwester_prozess;;;9;;1
078.51;geht_ins_wartezimmer_fuer_arzt;;;9;;
078.51;startet_schwester_prozess;;;10;;1
078.58;betritt_rezeption_warteschlange;;;8;;
078.58;rezeption_nicht_frei;;;8;;
078.58;wartet_in_rezeption_warteschlange;;;8;;
078.67;betritt_wartezimmer_fuer_arzt;;;9;;
079.05;verlaesst_wartezimmer_fuer_arzt;;;9;;
079.05;geht_zum_arzt;;;9;;
079.13;betritt_klinik;;;12;;
079.13;geht_zur_rezeption;;;12;;
079.21;betritt_rezeption_warteschlange;;;12;;
079.21;rezeption_nicht_frei;;;12;;
079.21;wartet_in_rezeption_warteschlange;;;12;;
079.22;betritt_arztzimmer;;;9;;
079.22;startet_arzt_behandlung;;;9;2;
079.64;beendet_rezeption;;;11;;
079.64;rezeption_hat_termin;;;11;;
079.64;hat_termin;;;11;;
079.64;benoetigt_schwester_vorbereitung;;;11;;
079.64;schwester_frei;;;11;;
079.64;geht_zur_schwester;;;11;;
079.64;rezeption_frei;;;8;;
079.64;betritt_rezeption;;;8;;
079.64;behandlung_bereits_fertig;;;8;;
079.64;startet_rezeption;;;8;;
079.80;betritt_schwesterzimmer;;;11;;
080.85;beendet_rezeption;;;8;;
080.85;macht_folgetermin_aus_oder_rezept;;;8;;
080.85;geht_zum_ausgang;;;8;;
080.85;rezeption_frei;;;12;;
080.85;betritt_rezeption;;;12;;
080.85;behandlung_nicht_fertig;;;12;;
080.85;startet_rezeption;;;12;;
080.94;verlaesst_klinik;;;8;;
082.55;betritt_klinik;;;13;;
082.55;geht_zur_rezeption;;;13;;
082.64;betritt_rezeption_warteschlange;;;13;;
082.64;rezeption_nicht_frei;;;13;;
082.64;wartet_in_rezeption_warteschlange;;;13;;
083.01;beendet_schwester_prozess;;;10;;1
083.01;geht_ins_wartezimmer_fuer_arzt;;;10;;
083.01;startet_schwester_prozess;;;11;;1
083.18;betritt_wartezimmer_fuer_arzt;;;10;;
084.78;beendet_arzt_behandlung;;;9;2;
084.78;verlaesst_nach_arzt_ohne_rezeption;;;9;;
084.78;geht_zum_ausgang;;;9;;
085.03;verlaesst_klinik;;;9;;
089.18;betritt_klinik;;;14;;
089.18;geht_zur_rezeption;;;14;;
089.26;betritt_rezeption_warteschlange;;;14;;
089.26;rezeption_nicht_frei;;;14;;
089.26;wartet_in_rezeption_warteschlange;;;14;;
092.88;verlaesst_wartezimmer_fuer_arzt;;;10;;
092.88;geht_zum_arzt;;;10;;
092.95;beendet_schwester_prozess;;;11;;1
092.95;geht_ins_wartezimmer_fuer_arzt;;;11;;
093.04;betritt_arztzimmer;;;10;;
093.04;startet_arzt_behandlung;;;10;2;
093.11;betritt_wartezimmer_fuer_arzt;;;11;;
094.41;betritt_klinik;;;15;;
094.41;geht_zur_rezeption;;;15;;
094.49;betritt_rezeption_warteschlange;;;15;;
094.49;rezeption_nicht_frei;;;15;;
094.49;wartet_in_rezeption_warteschlange;;;15;;
094.58;beendet_rezeption;;;12;;
094.58;rezeption_hat_termin;;;12;;
094.58;hat_termin;;;12;;
094.58;keine_schwester_vorbereitung;;;12;;
094.58;ueberspringt_schwester;;;12;;
094.58;geht_ins_wartezimmer_fuer_arzt;;;12;;
094.58;rezeption_frei;;;13;;
094.58;betritt_rezeption;;;13;;
