Prognosemodell-Auswertung
==================================================
Prognoseprüfungen gesamt: 6.334
Richtig (+/-30 % oder +/-5 min): 5.263
Trefferquote: 83,09 %
Prognose-Abbrüche: 55
Aufnahmeprognose-Abweisungen: 97
Mittlere geschaetzte Restzeit: 43,54 min
Mittlere tatsaechliche Restzeit: 49,48 min
Mittlere absolute Abweichung: 12,42 min
Mittlere prognostizierte Bearbeitungs-Restzeit: 8,20 min
Mittlere gesampelte Bearbeitungs-Restzeit: 8,20 min
Mittlere absolute Bearbeitungs-Abweichung: 0,00 min

Trefferquote je Phase
--------------------------------------------------
Ankunft: 945/1281 (73,77 %) | Prognose 75,51 min | Ist 79,36 min | abs. Abw. 23,98 min
  Bearbeitung: Prognose 12,12 min | Sample 12,12 min | abs. Abw. 0,00 min
NachArzt: 1219/1219 (100,00 %) | Prognose 17,45 min | Ist 17,47 min | abs. Abw. 0,02 min
  Bearbeitung: Prognose 1,16 min | Sample 1,16 min | abs. Abw. 0,00 min
NachRezeption: 993/1230 (80,73 %) | Prognose 43,75 min | Ist 52,48 min | abs. Abw. 13,25 min
  Bearbeitung: Prognose 10,08 min | Sample 10,08 min | abs. Abw. 0,00 min
NachSchwester: 569/688 (82,70 %) | Prognose 42,99 min | Ist 50,99 min | abs. Abw. 12,17 min
  Bearbeitung: Prognose 7,64 min | Sample 7,64 min | abs. Abw. 0,00 min
VorArzt: 989/1228 (80,54 %) | Prognose 35,24 min | Ist 42,76 min | abs. Abw. 11,07 min
  Bearbeitung: Prognose 7,60 min | Sample 7,60 min | abs. Abw. 0,00 min
VorSchwester: 548/688 (79,65 %) | Prognose 45,21 min | Ist 55,63 min | abs. Abw. 14,00 min
  Bearbeitung: Prognose 12,06 min | Sample 12,06 min | abs. Abw. 0,00 min


Details
PatientId;Phase;ZeitpunktMin;PrognoseRestMin;IstRestMin;AbweichungMin;AbweichungProzent;PrognoseBearbeitungsRestMin;GesampelteBearbeitungsRestMin;AbweichungBearbeitungMin;AbweichungBearbeitungProzent;Korrekt;PrognoseFertigBisSchichtende
11;NachRezeption;37.40;12.25;16.41;-4.16;-25.34;6.36;6.36;-0.00;-0.00;1;1
11;VorSchwester;37.40;12.25;16.41;-4.16;-25.34;6.36;6.36;-0.00;-0.00;1;1
11;NachSchwester;40.93;12.71;12.87;-0.17;-1.29;2.99;2.99;-0.00;-0.00;1;1
11;VorArzt;46.24;7.56;7.56;0.00;0.00;2.99;2.99;-0.00;-0.00;1;1
11;NachArzt;53.56;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
9;Ankunft;30.09;29.66;26.51;3.15;11.90;16.99;16.99;0.00;0.00;1;1
9;NachRezeption;35.18;17.52;21.41;-3.90;-18.19;15.01;15.01;0.00;0.00;1;1
9;VorSchwester;35.18;17.52;21.41;-3.90;-18.19;15.01;15.01;0.00;0.00;1;1
9;NachSchwester;40.71;20.17;15.89;4.28;26.93;9.65;9.65;0.00;0.00;1;1
9;VorArzt;42.34;17.57;14.26;3.31;23.22;9.65;9.65;0.00;0.00;1;1
9;NachArzt;50.40;6.20;6.20;0.00;0.00;1.75;1.75;0.00;0.00;1;1
12;Ankunft;37.11;25.66;27.38;-1.73;-6.30;20.84;20.84;0.00;0.00;1;1
12;NachRezeption;46.90;25.45;17.59;7.86;44.67;11.34;11.34;-0.00;-0.00;0;1
12;VorArzt;50.73;19.55;13.76;5.78;42.03;11.34;11.34;-0.00;-0.00;0;1
12;NachArzt;63.50;0.99;0.99;0.00;0.00;0.74;0.74;-0.00;-0.00;1;1
14;Ankunft;40.02;32.87;25.55;7.33;28.69;16.63;16.63;0.00;0.00;1;1
14;NachRezeption;49.17;21.83;16.39;5.44;33.17;14.98;14.98;0.00;0.00;0;1
14;VorSchwester;49.17;21.83;16.39;5.44;33.17;14.98;14.98;0.00;0.00;0;1
14;NachSchwester;52.87;17.98;12.69;5.29;41.71;11.44;11.44;0.00;0.00;0;1
14;VorArzt;53.12;17.49;12.44;5.05;40.55;11.44;11.44;0.00;0.00;0;1
14;NachArzt;64.09;1.47;1.47;0.00;0.00;1.07;1.07;0.00;0.00;1;1
15;Ankunft;42.92;26.78;26.12;0.66;2.54;8.62;8.62;0.00;0.00;1;1
15;NachRezeption;50.08;14.21;18.96;-4.75;-25.07;8.39;8.39;0.00;0.00;1;1
15;VorSchwester;50.08;14.21;18.96;-4.75;-25.07;8.39;8.39;0.00;0.00;1;1
15;NachSchwester;53.51;20.33;15.53;4.80;30.95;5.12;5.12;-0.00;-0.00;1;1
