Prognosemodell-Auswertung
==================================================
Prognoseprüfungen gesamt: 6.334
Richtig (+/-30 % oder +/-5 min): 5.263
Trefferquote: 83,09 %
Prognose-Abbrüche: 55
Aufnahmeprognose-Abweisungen: 97
Mittlere geschaetzte Restzeit: 43,54 min
Mittlere tatsaechliche Restzeit: 49,48 min
Mittlere absolute Abweichung: 12,42 min
Mittlere prognostizierte Bearbeitungs-Restzeit: 8,20 min
Mittlere gesampelte Bearbeitungs-Restzeit: 8,20 min
Mittlere absolute Bearbeitungs-Abweichung: 0,00 min

Trefferquote je Phase
--------------------------------------------------
Ankunft: 945/1281 (73,77 %) | Prognose 75,51 min | Ist 79,36 min | abs. Abw. 23,98 min
  Bearbeitung: Prognose 12,12 min | Sample 12,12 min | abs. Abw. 0,00 min
NachArzt: 1219/1219 (100,00 %) | Prognose 17,45 min | Ist 17,47 min | abs. Abw. 0,02 min
  Bearbeitung: Prognose 1,16 min | Sample 1,16 min | abs. Abw. 0,00 min
NachRezeption: 993/1230 (80,73 %) | Prognose 43,75 min | Ist 52,48 min | abs. Abw. 13,25 min
  Bearbeitung: Prognose 10,08 min | Sample 10,08 min | abs. Abw. 0,00 min
NachSchwester: 569/688 (82,70 %) | Prognose 42,99 min | Ist 50,99 min | abs. Abw. 12,17 min
  Bearbeitung: Prognose 7,64 min | Sample 7,64 min | abs. Abw. 0,00 min
VorArzt: 989/1228 (80,54 %) | Prognose 35,24 min | Ist 42,76 min | abs. Abw. 11,07 min
  Bearbeitung: Prognose 7,60 min | Sample 7,60 min | abs. Abw. 0,00 min
VorSchwester: 548/688 (79,65 %) | Prognose 45,21 min | Ist 55,63 min | abs. Abw. 14,00 min
  Bearbeitung: Prognose 12,06 min | Sample 12,06 min | abs. Abw. 0,00 min


Details
PatientId;Phase;ZeitpunktMin;PrognoseRestMin;IstRestMin;AbweichungMin;AbweichungProzent;PrognoseBearbeitungsRestMin;GesampelteBearbeitungsRestMin;AbweichungBearbeitungMin;AbweichungBearbeitungProzent;Korrekt;PrognoseFertigBisSchichtende
10096;Ankunft;239.09;133.04;139.02;-5.98;-4.30;14.75;14.75;0.00;0.00;1;1
10096;NachRezeption;286.35;97.56;91.76;5.80;6.32;13.98;13.98;0.00;0.00;1;1
10096;VorSchwester;286.35;97.56;91.76;5.80;6.32;13.98;13.98;0.00;0.00;1;1
10096;NachSchwester;289.17;98.47;88.94;9.54;10.72;11.33;11.33;0.00;0.00;1;1
10096;VorArzt;289.46;97.89;88.65;9.25;10.43;11.33;11.33;0.00;0.00;1;1
10096;NachArzt;325.73;52.38;52.38;0.00;0.00;1.39;1.39;0.00;0.00;1;1
10111;Ankunft;281.67;93.91;97.28;-3.37;-3.47;12.43;12.43;0.00;0.00;1;1
10111;NachRezeption;335.13;30.14;43.82;-13.68;-31.22;11.43;11.43;0.00;0.00;0;1
10111;VorSchwester;335.13;30.14;43.82;-13.68;-31.22;11.43;11.43;0.00;0.00;0;1
10111;NachSchwester;341.85;25.38;37.10;-11.72;-31.60;4.87;4.87;-0.00;-0.00;0;1
10111;VorArzt;346.02;20.47;32.93;-12.46;-37.83;4.87;4.87;-0.00;-0.00;0;1
10111;NachArzt;378.70;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
10101;Ankunft;253.46;139.46;127.85;11.61;9.08;19.42;19.42;0.00;0.00;1;1
10101;NachRezeption;303.52;105.42;77.80;27.62;35.50;16.91;16.91;0.00;0.00;0;1
10101;VorSchwester;303.52;105.42;77.80;27.62;35.50;16.91;16.91;0.00;0.00;0;1
10101;NachSchwester;307.21;100.95;74.10;26.85;36.24;13.38;13.38;-0.00;-0.00;0;1
10101;VorArzt;308.14;92.59;73.17;19.42;26.54;13.38;13.38;-0.00;-0.00;1;1
10101;NachArzt;342.66;38.65;38.65;0.00;0.00;1.52;1.52;-0.00;-0.00;1;1
10109;Ankunft;281.33;109.64;103.97;5.67;5.46;5.89;5.89;0.00;0.00;1;1
10109;NachRezeption;330.87;61.39;54.42;6.96;12.79;4.05;4.05;0.00;0.00;1;1
10109;VorSchwester;330.87;61.39;54.42;6.96;12.79;4.05;4.05;0.00;0.00;1;1
10109;NachSchwester;332.37;59.10;52.92;6.18;11.67;2.71;2.71;0.00;0.00;1;1
10109;VorArzt;381.39;3.90;3.90;0.00;0.00;2.71;2.71;0.00;0.00;1;1
10109;NachArzt;385.04;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
10121;Ankunft;322.18;69.51;65.77;3.75;5.69;8.29;8.29;0.00;0.00;1;1
10121;NachRezeption;374.52;13.09;13.42;-0.33;-2.48;2.48;2.48;0.00;0.00;1;1
10121;VorArzt;381.69;3.38;6.26;-2.88;-46.03;2.48;2.48;0.00;0.00;1;1
10121;NachArzt;387.70;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
10108;Ankunft;271.69;131.22;116.28;14.94;12.85;10.33;10.33;0.00;0.00;1;1
10108;NachRezeption;324.37;88.93;63.60;25.33;39.82;8.16;8.16;-0.00;-0.00;0;1
10108;VorArzt;331.43;78.05;56.54;21.51;38.04;8.16;8.16;-0.00;-0.00;0;1
10108;NachArzt;362.44;25.53;25.53;0.00;0.00;2.04;2.04;-0.00;-0.00;1;1
10110;Ankunft;281.50;149.07;110.94;38.13;34.37;21.10;21.10;0.00;0.00;0;1
10110;NachRezeption;334.13;83.74;58.30;25.43;43.62;17.84;17.84;-0.00;-0.00;0;1
10110;VorSchwester;334.13;83.74;58.30;25.43;43.62;17.84;17.84;-0.00;-0.00;0;1
10110;NachSchwester;338.56;77.47;53.88;23.59;43.78;13.58;13.58;-0.00;-0.00;0;1
10110;VorArzt;343.71;69.01;48.73;20.29;41.63;13.58;13.58;-0.00;-0.00;0;1
10110;NachArzt;372.86;19.58;19.58;0.00;0.00;3.33;3.33;-0.00;-0.00;1;1
10120;Ankunft;312.26;95.76;81.90;13.85;16.91;8.76;8.76;0.00;0.00;1;1
10120;NachRezeption;367.71;23.30;26.45;-3.15;-11.91;6.05;6.05;0.00;0.00;1;1
10120;VorArzt;376.69;14.78;17.48;-2.70;-15.43;6.05;6.05;0.00;0.00;1;1
10120;NachArzt;393.91;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
10114;Ankunft;286.17;152.61;110.73;41.88;37.82;19.75;19.75;0.00;0.00;0;1
10114;NachRezeption;342.68;83.75;54.21;29.54;54.48;16.42;16.42;0.00;0.00;0;1
10114;VorArzt;342.97;83.32;53.92;29.39;54.51;16.42;16.42;0.00;0.00;0;1
10114;NachArzt;373.66;23.23;23.23;0.00;0.00;4.46;4.46;0.00;0.00;1;1
10113;Ankunft;284.99;144.51;113.42;31.08;27.41;11.06;11.06;0.00;0.00;1;1
10113;NachRezeption;339.35;78.46;59.06;19.40;32.85;7.22;7.22;0.00;0.00;0;1
10113;VorSchwester;339.35;78.46;59.06;19.40;32.85;7.22;7.22;0.00;0.00;0;1
10113;NachSchwester;341.00;75.16;57.41;17.75;30.91;5.74;5.74;0.00;0.00;0;1
10113;VorArzt;363.07;40.76;35.34;5.42;15.33;5.74;5.74;0.00;0.00;1;1
10113;NachArzt;377.25;21.16;21.16;0.00;0.00;1.52;1.52;0.00;0.00;1;1
10124;Ankunft;337.32;74.26;64.99;9.27;14.26;17.90;17.90;0.00;0.00;1;1
10124;NachRezeption;378.66;24.83;23.65;1.18;5.01;17.27;17.27;0.00;0.00;1;1
10124;VorSchwester;378.66;24.83;23.65;1.18;5.01;17.27;17.27;0.00;0.00;1;1
10124;NachSchwester;386.43;15.70;15.87;-0.17;-1.05;9.66;9.66;0.00;0.00;1;1
10124;VorArzt;389.69;12.62;12.62;0.00;0.00;9.66;9.66;0.00;0.00;1;1
10124;NachArzt;402.05;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
10117;Ankunft;295.06;147.96;108.24;39.72;36.70;16.82;16.82;0.00;0.00;0;1
10117;NachRezeption;357.27;53.67;46.04;7.63;16.58;8.19;8.19;0.00;0.00;1;1
10117;VorArzt;360.00;52.82;43.30;9.52;21.98;8.19;8.19;0.00;0.00;1;1
10117;NachArzt;382.16;21.14;21.14;0.00;0.00;4.89;4.89;-0.00;-0.00;1;1
10115;Ankunft;290.09;152.90;114.59;38.31;33.43;13.57;13.57;0.00;0.00;0;1
10115;NachRezeption;347.69;72.13;56.99;15.15;26.58;9.13;9.13;-0.00;-0.00;1;1
10115;VorArzt;348.42;70.69;56.26;14.42;25.63;9.13;9.13;-0.00;-0.00;1;1
10115;NachArzt;385.16;19.52;19.52;0.00;0.00;1.38;1.38;0.00;0.00;1;1
10119;Ankunft;310.87;150.80;97.11;53.69;55.29;12.72;12.72;0.00;0.00;0;1
10119;NachRezeption;365.00;49.92;42.98;6.95;16.16;10.20;10.20;0.00;0.00;1;1
10119;VorSchwester;365.00;49.92;42.98;6.95;16.16;10.20;10.20;0.00;0.00;1;1
10119;NachSchwester;368.45;43.14;39.53;3.62;9.15;6.92;6.92;0.00;0.00;1;1
10119;VorArzt;371.93;37.33;36.05;1.28;3.54;6.92;6.92;0.00;0.00;1;1
10119;NachArzt;388.95;19.03;19.03;0.00;0.00;3.30;3.30;-0.00;-0.00;1;1
10123;Ankunft;325.62;139.34;84.16;55.17;65.55;8.74;8.74;0.00;0.00;0;1
10123;NachRezeption;376.10;40.93;33.68;7.24;21.50;7.66;7.66;0.00;0.00;1;1
10123;VorSchwester;376.10;40.93;33.68;7.24;21.50;7.66;7.66;0.00;0.00;1;1
10123;NachSchwester;379.01;34.42;30.77;3.65;11.86;4.92;4.92;0.00;0.00;1;1
10123;VorArzt;382.12;28.21;27.67;0.54;1.97;4.92;4.92;0.00;0.00;1;1
10123;NachArzt;392.23;17.56;17.56;0.00;0.00;1.80;1.80;0.00;0.00;1;1
10125;Ankunft;338.07;109.62;73.73;35.89;48.67;10.75;10.75;0.00;0.00;0;1
10125;NachRezeption;379.71;38.22;32.09;6.13;19.09;9.69;9.69;0.00;0.00;1;1
10125;VorSchwester;379.71;38.22;32.09;6.13;19.09;9.69;9.69;0.00;0.00;1;1
10125;NachSchwester;384.25;34.04;27.55;6.48;23.52;5.32;5.32;-0.00;-0.00;1;1
10125;VorArzt;392.93;23.50;18.88;4.62;24.47;5.32;5.32;-0.00;-0.00;1;1
10125;NachArzt;399.03;12.77;12.77;0.00;0.00;0.37;0.37;-0.00;-0.00;1;1
10077;Ankunft;197.30;82.66;223.07;-140.41;-62.94;20.68;20.68;0.00;0.00;0;1
10077;NachRezeption;239.62;46.38;180.75;-134.37;-74.34;17.90;17.90;0.00;0.00;0;1
10077;VorArzt;240.79;45.59;179.58;-133.99;-74.61;17.90;17.90;0.00;0.00;0;1
10077;NachArzt;420.12;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
10129;Ankunft;405.26;30.25;17.41;12.84;73.76;6.20;6.20;0.00;0.00;0;1
10129;NachRezeption;412.12;10.71;10.55;0.17;1.58;5.80;5.80;0.00;0.00;1;1
10129;VorSchwester;412.12;10.71;10.55;0.17;1.58;5.80;5.80;0.00;0.00;1;1
10129;NachSchwester;415.96;6.71;6.71;0.00;0.00;2.14;2.14;-0.00;-0.00;1;1
10129;VorArzt;416.64;6.03;6.03;0.00;0.00;2.14;2.14;-0.00;-0.00;1;1
10129;NachArzt;421.87;0.80;0.80;0.00;0.00;0.55;0.55;-0.00;-0.00;1;1
10058;Ankunft;155.39;72.11;272.59;-200.48;-73.55;28.95;28.95;0.00;0.00;0;1
10058;NachRezeption;194.91;43.87;233.07;-189.20;-81.18;28.53;28.53;0.00;0.00;0;1
10058;VorArzt;196.88;42.32;231.10;-188.78;-81.69;28.53;28.53;0.00;0.00;0;1
10058;NachArzt;427.73;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
10127;Ankunft;370.50;68.96;61.13;7.83;12.81;11.32;11.32;0.00;0.00;1;1
10127;NachRezeption;389.03;43.71;42.60;1.11;2.60;10.18;10.18;0.00;0.00;1;1
10127;VorSchwester;389.03;43.71;42.60;1.11;2.60;10.18;10.18;0.00;0.00;1;1
10127;NachSchwester;394.62;38.12;37.01;1.11;3.00;4.76;4.76;0.00;0.00;1;1
10127;VorArzt;426.20;5.43;5.43;0.00;0.00;4.76;4.76;0.00;0.00;1;1
10127;NachArzt;431.38;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
10128;Ankunft;394.39;67.38;38.75;28.63;73.89;13.49;13.49;0.00;0.00;0;1
10128;NachRezeption;411.36;28.58;21.78;6.80;31.21;11.84;11.84;0.00;0.00;0;1
10128;VorSchwester;411.36;28.58;21.78;6.80;31.21;11.84;11.84;0.00;0.00;0;1
10128;NachSchwester;412.51;26.49;20.63;5.86;28.42;10.85;10.85;0.00;0.00;1;1
10128;VorArzt;421.30;11.84;11.84;0.00;0.00;10.85;10.85;0.00;0.00;1;1
10128;NachArzt;426.45;6.68;6.68;0.00;0.00;6.43;6.43;0.00;0.00;1;1
10126;Ankunft;359.27;104.17;78.81;25.36;32.18;16.38;16.38;0.00;0.00;0;1
10126;NachRezeption;385.85;79.13;52.23;26.89;51.49;11.76;11.76;0.00;0.00;0;1
10126;VorSchwester;385.85;79.13;52.23;26.89;51.49;11.76;11.76;0.00;0.00;0;1
10126;NachSchwester;391.49;63.49;46.60;16.89;36.25;6.29;6.29;0.00;0.00;0;1
10126;VorArzt;429.45;12.24;8.63;3.60;41.71;6.29;6.29;0.00;0.00;1;1
10126;NachArzt;436.46;1.62;1.62;0.00;0.00;1.37;1.37;0.00;0.00;1;1
10103;Ankunft;260.42;117.61;179.80;-62.19;-34.59;13.24;13.24;0.00;0.00;0;1
10103;NachRezeption;313.20;70.99;127.02;-56.03;-44.11;12.07;12.07;0.00;0.00;0;1
10103;VorArzt;315.49;68.70;124.73;-56.03;-44.92;12.07;12.07;0.00;0.00;0;1
10103;NachArzt;439.97;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
10107;Ankunft;271.09;118.18;184.55;-66.37;-35.96;19.16;19.16;0.00;0.00;0;1
10107;NachRezeption;322.20;80.07;133.44;-53.37;-39.99;18.76;18.76;0.00;0.00;0;1
10107;VorArzt;322.73;79.54;132.91;-53.37;-40.15;18.76;18.76;0.00;0.00;0;1
10107;NachArzt;455.39;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
10118;Ankunft;295.81;131.95;160.15;-28.21;-17.61;18.43;;;;1;1
10118;NachRezeption;360.12;87.55;95.84;-8.30;-8.66;15.58;;;;1;1
10118;VorArzt;362.15;85.69;93.81;-8.13;-8.67;15.58;;;;1;1
10122;Ankunft;324.51;130.68;145.80;-15.12;-10.37;26.22;26.22;0.00;0.00;1;1
10122;NachRezeption;375.02;79.55;95.28;-15.73;-16.51;25.72;25.72;-0.00;-0.00;1;1
10122;VorSchwester;375.02;79.55;95.28;-15.73;-16.51;25.72;25.72;-0.00;-0.00;1;1
10122;NachSchwester;386.73;75.13;83.58;-8.44;-10.10;14.18;14.18;-0.00;-0.00;1;1
10122;VorArzt;397.81;69.31;72.50;-3.19;-4.40;14.18;14.18;-0.00;-0.00;1;1
10122;NachArzt;470.06;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
10105;Ankunft;266.36;189.06;208.25;-19.19;-9.21;29.73;;;;1;1
10105;NachRezeption;319.34;128.19;155.26;-27.07;-17.43;29.30;;;;1;1
10105;VorSchwester;319.34;128.19;155.26;-27.07;-17.43;29.30;;;;1;1
10105;NachSchwester;328.89;131.15;145.71;-14.57;-10.00;19.92;;;;1;1
10105;VorArzt;377.82;86.24;96.78;-10.54;-10.90;19.92;;;;1;1
20001;Ankunft;19.77;26.31;26.12;0.19;0.74;14.79;14.79;0.00;0.00;1;1
20001;NachRezeption;26.58;19.32;19.32;0.00;0.00;8.07;8.07;0.00;0.00;1;1
20001;VorSchwester;26.58;19.32;19.32;0.00;0.00;8.07;8.07;0.00;0.00;1;1
20001;NachSchwester;28.73;17.17;17.17;0.00;0.00;6.09;6.09;0.00;0.00;1;1
20001;VorArzt;39.39;6.50;6.50;0.00;0.00;6.09;6.09;0.00;0.00;1;1
20001;NachArzt;45.64;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
20006;Ankunft;50.34;13.75;13.75;0.00;0.00;12.35;12.35;0.00;0.00;1;1
20006;NachRezeption;53.03;11.06;11.06;0.00;0.00;9.75;9.75;0.00;0.00;1;1
20006;VorArzt;53.92;10.16;10.16;0.00;0.00;9.75;9.75;0.00;0.00;1;1
20006;NachArzt;63.84;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
20005;Ankunft;45.74;26.31;23.83;2.48;10.39;6.81;6.81;0.00;0.00;1;1
20005;NachRezeption;47.91;21.66;21.66;0.00;0.00;6.40;6.40;0.00;0.00;1;1
20005;VorSchwester;47.91;21.66;21.66;0.00;0.00;6.40;6.40;0.00;0.00;1;1
20005;NachSchwester;50.06;19.51;19.51;0.00;0.00;4.41;4.41;0.00;0.00;1;1
20005;VorArzt;64.74;4.83;4.83;0.00;0.00;4.41;4.41;0.00;0.00;1;1
20005;NachArzt;69.32;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
20003;Ankunft;43.00;28.03;27.79;0.23;0.83;8.27;8.27;0.00;0.00;1;1
20003;NachRezeption;43.35;24.74;27.44;-2.70;-9.85;8.00;8.00;0.00;0.00;1;1
20003;VorSchwester;43.35;24.74;27.44;-2.70;-9.85;8.00;8.00;0.00;0.00;1;1
20003;NachSchwester;45.14;22.95;25.65;-2.70;-10.54;6.37;6.37;-0.00;-0.00;1;1
20003;VorArzt;61.30;12.31;9.49;2.82;29.69;6.37;6.37;-0.00;-0.00;1;1
20003;NachArzt;63.95;6.84;6.84;0.00;0.00;3.89;3.89;-0.00;-0.00;1;1
20002;Ankunft;20.72;53.80;54.36;-0.55;-1.01;22.54;22.54;0.00;0.00;1;1
20002;NachRezeption;29.71;44.33;45.37;-1.05;-2.31;19.42;19.42;0.00;0.00;1;1
20002;VorSchwester;29.71;44.33;45.37;-1.05;-2.31;19.42;19.42;0.00;0.00;1;1
20002;NachSchwester;38.46;35.57;36.61;-1.05;-2.86;10.82;10.82;-0.00;-0.00;1;1
20002;VorArzt;62.79;12.29;12.29;0.00;0.00;10.82;10.82;-0.00;-0.00;1;1
20002;NachArzt;74.83;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
20010;Ankunft;58.52;23.43;21.07;2.36;11.18;8.56;8.56;0.00;0.00;1;1
20010;NachRezeption;65.48;18.50;14.12;4.39;31.06;7.87;7.87;0.00;0.00;1;1
20010;VorArzt;67.40;14.66;12.19;2.46;20.19;7.87;7.87;0.00;0.00;1;1
20010;NachArzt;76.86;2.74;2.74;0.00;0.00;0.50;0.50;-0.00;-0.00;1;1
20012;Ankunft;64.21;21.91;16.62;5.30;31.89;4.79;4.79;0.00;0.00;0;1
20012;NachRezeption;71.86;9.32;8.97;0.35;3.93;3.64;3.64;-0.00;-0.00;1;1
20012;VorArzt;72.68;9.04;8.15;0.90;11.01;3.64;3.64;-0.00;-0.00;1;1
20012;NachArzt;77.41;3.42;3.42;0.00;0.00;1.23;1.23;-0.00;-0.00;1;1
20009;Ankunft;53.93;28.73;32.23;-3.51;-10.88;11.03;11.03;0.00;0.00;1;1
20009;NachRezeption;64.79;26.09;21.37;4.72;22.06;8.56;8.56;0.00;0.00;1;1
20009;VorArzt;65.30;25.06;20.86;4.20;20.15;8.56;8.56;0.00;0.00;1;1
20009;NachArzt;83.35;2.81;2.81;0.00;0.00;2.23;2.23;-0.00;-0.00;1;1
20015;Ankunft;74.45;11.58;12.73;-1.15;-9.05;6.49;6.49;0.00;0.00;1;1
20015;NachRezeption;79.02;8.16;8.16;0.00;0.00;3.00;3.00;0.00;0.00;1;1
20015;VorSchwester;79.02;8.16;8.16;0.00;0.00;3.00;3.00;0.00;0.00;1;1
20015;NachSchwester;80.74;6.28;6.44;-0.17;-2.59;1.44;1.44;-0.00;-0.00;1;1
20015;VorArzt;81.16;5.85;6.02;-0.17;-2.77;1.44;1.44;-0.00;-0.00;1;1
20015;NachArzt;86.93;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
20013;Ankunft;68.15;23.12;20.22;2.90;14.35;6.05;6.05;0.00;0.00;1;1
20013;NachRezeption;74.15;13.35;14.22;-0.87;-6.11;3.76;3.76;0.00;0.00;1;1
20013;VorSchwester;74.15;13.35;14.22;-0.87;-6.11;3.76;3.76;0.00;0.00;1;1
20013;NachSchwester;75.71;13.55;12.65;0.90;7.11;2.36;2.36;0.00;0.00;1;1
20013;VorArzt;77.92;12.76;10.45;2.31;22.15;2.36;2.36;0.00;0.00;1;1
20013;NachArzt;85.32;3.05;3.05;0.00;0.00;0.56;0.56;0.00;0.00;1;1
20020;Ankunft;84.70;10.94;15.13;-4.20;-27.75;5.96;5.96;0.00;0.00;1;1
20020;NachRezeption;87.73;12.28;12.11;0.17;1.38;4.98;4.98;0.00;0.00;1;1
20020;VorSchwester;87.73;12.28;12.11;0.17;1.38;4.98;4.98;0.00;0.00;1;1
20020;NachSchwester;89.43;10.41;10.41;0.00;0.00;3.44;3.44;0.00;0.00;1;1
20020;VorArzt;90.37;9.47;9.47;0.00;0.00;3.44;3.44;0.00;0.00;1;1
20020;NachArzt;99.59;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
20008;Ankunft;53.10;43.59;47.41;-3.82;-8.05;20.00;20.00;0.00;0.00;1;1
20008;NachRezeption;62.31;29.68;38.20;-8.51;-22.29;19.65;19.65;0.00;0.00;1;1
20008;VorSchwester;62.31;29.68;38.20;-8.51;-22.29;19.65;19.65;0.00;0.00;1;1
20008;NachSchwester;64.38;30.41;36.13;-5.72;-15.83;17.74;17.74;0.00;0.00;1;1
20008;VorArzt;65.93;32.99;34.58;-1.59;-4.59;17.74;17.74;0.00;0.00;1;1
20008;NachArzt;89.82;10.68;10.68;0.00;0.00;5.49;5.49;0.00;0.00;1;1
20007;Ankunft;52.07;30.65;59.58;-28.94;-48.57;25.06;25.06;0.00;0.00;0;1
20007;NachRezeption;61.95;23.95;49.70;-25.74;-51.80;16.13;16.13;0.00;0.00;0;1
20007;VorSchwester;61.95;23.95;49.70;-25.74;-51.80;16.13;16.13;0.00;0.00;0;1
20007;NachSchwester;66.95;38.62;44.70;-6.08;-13.61;11.30;11.30;0.00;0.00;1;1
20007;VorArzt;67.18;38.17;44.47;-6.31;-14.18;11.30;11.30;0.00;0.00;1;1
20007;NachArzt;95.98;15.67;15.67;0.00;0.00;2.42;2.42;0.00;0.00;1;1
20016;Ankunft;77.51;32.34;38.47;-6.13;-15.95;13.97;13.97;0.00;0.00;1;1
20016;NachRezeption;82.47;25.67;33.51;-7.85;-23.41;12.24;12.24;0.00;0.00;1;1
20016;VorArzt;83.85;31.26;32.13;-0.88;-2.72;12.24;12.24;0.00;0.00;1;1
20016;NachArzt;115.73;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
20011;Ankunft;60.03;32.27;57.01;-24.73;-43.39;18.58;18.58;0.00;0.00;0;1
20011;NachRezeption;66.82;37.01;50.21;-13.20;-26.29;17.23;17.23;0.00;0.00;1;1
20011;VorArzt;68.25;36.46;48.79;-12.33;-25.27;17.23;17.23;0.00;0.00;1;1
20011;NachArzt;103.17;13.87;13.87;0.00;0.00;4.06;4.06;0.00;0.00;1;1
20021;Ankunft;86.40;18.94;32.50;-13.56;-41.73;7.80;7.80;0.00;0.00;0;1
20021;NachRezeption;88.78;17.16;30.13;-12.97;-43.04;7.30;7.30;-0.00;-0.00;0;1
20021;VorSchwester;88.78;17.16;30.13;-12.97;-43.04;7.30;7.30;-0.00;-0.00;0;1
20021;NachSchwester;90.81;24.08;28.10;-4.02;-14.30;5.44;5.44;-0.00;-0.00;1;1
20021;VorArzt;91.58;29.66;27.33;2.33;8.51;5.44;5.44;-0.00;-0.00;1;1
20021;NachArzt;103.32;15.58;15.58;0.00;0.00;1.87;1.87;0.00;0.00;1;1
20023;Ankunft;89.12;27.97;33.88;-5.91;-17.45;10.16;10.16;0.00;0.00;1;1
20023;NachRezeption;94.93;29.64;28.07;1.57;5.59;7.94;7.94;0.00;0.00;1;1
20023;VorSchwester;94.93;29.64;28.07;1.57;5.59;7.94;7.94;0.00;0.00;1;1
20023;NachSchwester;96.26;29.40;26.74;2.66;9.95;6.78;6.78;0.00;0.00;1;1
20023;VorArzt;98.65;25.96;24.35;1.60;6.59;6.78;6.78;0.00;0.00;1;1
20023;NachArzt;108.23;14.77;14.77;0.00;0.00;1.89;1.89;0.00;0.00;1;1
20024;Ankunft;91.51;40.54;34.93;5.61;16.05;8.76;8.76;0.00;0.00;1;1
20024;NachRezeption;102.76;23.35;23.68;-0.33;-1.41;6.42;6.42;0.00;0.00;1;1
20024;VorSchwester;102.76;23.35;23.68;-0.33;-1.41;6.42;6.42;0.00;0.00;1;1
20024;NachSchwester;105.42;20.68;21.01;-0.33;-1.59;3.92;3.92;0.00;0.00;1;1
20024;VorArzt;107.99;18.12;18.45;-0.33;-1.81;3.92;3.92;0.00;0.00;1;1
20024;NachArzt;126.19;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
20014;Ankunft;72.23;48.22;55.11;-6.89;-12.50;13.54;13.54;0.00;0.00;1;1
20014;NachRezeption;75.52;27.30;51.82;-24.52;-47.32;12.17;12.17;-0.00;-0.00;0;1
20014;VorSchwester;75.52;27.30;51.82;-24.52;-47.32;12.17;12.17;-0.00;-0.00;0;1
20014;NachSchwester;81.05;21.77;46.29;-24.52;-52.97;6.80;6.80;-0.00;-0.00;0;1
20014;VorArzt;95.60;14.61;31.74;-17.13;-53.96;6.80;6.80;-0.00;-0.00;0;1
20014;NachArzt;127.09;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
20019;Ankunft;84.19;32.46;43.52;-11.06;-25.41;10.21;10.21;0.00;0.00;1;1
20019;NachRezeption;86.74;28.26;40.97;-12.71;-31.02;9.55;9.55;0.00;0.00;0;1
20019;VorArzt;87.18;27.38;40.53;-13.15;-32.45;9.55;9.55;0.00;0.00;0;1
20019;NachArzt;117.47;10.24;10.24;0.00;0.00;0.47;0.47;-0.00;-0.00;1;1
20031;Ankunft;112.65;18.93;19.34;-0.41;-2.13;5.33;5.33;0.00;0.00;1;1
20031;NachRezeption;124.52;7.48;7.48;0.00;0.00;4.49;4.49;-0.00;-0.00;1;1
20031;VorArzt;125.59;6.41;6.41;0.00;0.00;4.49;4.49;-0.00;-0.00;1;1
20031;NachArzt;131.74;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
20017;Ankunft;79.25;26.68;52.97;-26.29;-49.63;11.06;11.06;0.00;0.00;0;1
20017;NachRezeption;82.90;31.47;49.32;-17.85;-36.19;10.63;10.63;0.00;0.00;0;1
20017;VorSchwester;82.90;31.47;49.32;-17.85;-36.19;10.63;10.63;0.00;0.00;0;1
20017;NachSchwester;88.57;33.20;43.65;-10.45;-23.94;5.12;5.12;0.00;0.00;1;1
20017;VorArzt;93.49;41.51;38.73;2.78;7.18;5.12;5.12;0.00;0.00;1;1
20017;NachArzt;120.12;12.10;12.10;0.00;0.00;0.90;0.90;0.00;0.00;1;1
20022;Ankunft;87.53;32.60;46.33;-13.74;-29.65;9.14;9.14;0.00;0.00;1;1
20022;NachRezeption;92.72;46.59;41.14;5.45;13.24;5.20;5.20;-0.00;-0.00;1;1
20022;VorArzt;93.56;43.06;40.30;2.76;6.85;5.20;5.20;-0.00;-0.00;1;1
20022;NachArzt;122.10;11.76;11.76;0.00;0.00;0.74;0.74;0.00;0.00;1;1
20028;Ankunft;103.52;48.15;32.31;15.84;49.05;9.35;9.35;0.00;0.00;0;1
